,trial,group_size,median_difference,low,high,error,error_minus
0,0,10,0.04042159636865607,-0.04987812802501633,0.1377479822408902,0.09732638587223412,0.0902997243936724
1,1,10,0.029941430888656285,-0.02482048805763376,0.08624114949403913,0.05629971860538285,0.054761918946290046
2,2,10,0.11224867454481424,0.030235090905497114,0.19179611901800392,0.07954744447318968,0.08201358363931713
3,3,10,0.07320637611748204,-0.016439659644994914,0.15165033431451658,0.07844395819703454,0.08964603576247696
4,4,10,-0.005633673066967479,-0.06260412655730532,0.0583251774513585,0.06395885051832598,0.056970453490337844
5,0,80,0.06988845538369375,0.042605022885486066,0.09440931811702113,0.02452086273332739,0.02728343249820768
6,1,80,0.07142905007090493,0.04403152173601388,0.10182455816193495,0.03039550809103002,0.02739752833489105
7,2,80,0.06421861812884275,0.03885275966450383,0.09076843205955384,0.026549813930711097,0.02536585846433892
8,3,80,0.06949564481022923,0.043462991920331234,0.09515883079991268,0.02566318598968345,0.026032652889897992
9,4,80,0.06000749916787135,0.03427120710889914,0.08735363890417105,0.027346139736299707,0.02573629205897221
