,loo,loo_se,p_loo,n_samples,n_data_points
Alternative with Verbal IQ,-202.36056854648885,14.426566247402205,75.75740259288983,4000,349
Alternative with Mother MLU,-202.36056854648885,14.426566247402205,75.75740259288983,4000,349
Alternative with Mother MLU + Verbal IQ,-202.36056854648885,14.426566247402205,75.75740259288983,4000,349
Alternative,-222.37855855544524,14.742695535955237,77.26634269399185,4000,349
Default,-304.3088907214952,35.598291871201916,122.48427354526422,4000,349
